,0
23717,15
23727,15
23737,15
23747,15
23757,15
23767,15
23777,15
23787,15
23797,15
23807,15
23817,15
23827,15
23839,15
23842,1
23845,12
23852,11
23859,16
23866,9
23873,18
23880,19
23887,20
23893,21
23903,12
23910,11
23917,16
23924,9
23931,18
23938,19
23945,20
23951,21
23961,12
23968,11
23975,16
23982,9
23989,18
23996,19
24003,20
24009,21
24019,12
24026,11
24033,16
24040,9
24047,18
24056,0
24071,0
24073,0
24085,23
24088,8
24098,15
24108,15
24118,15
24128,15
24138,15
24148,15
24158,15
24168,15
24178,15
24188,15
24198,15
24208,15
24218,15
24228,15
24238,15
24248,15
24258,15
24268,15
24278,15
24288,15
24298,15
24308,15
24318,15
24328,15
24338,15
24348,15
24358,15
24368,15
24378,15
24390,15
24393,1
24396,12
24403,11
24410,16
24417,9
24424,18
24431,19
24438,20
24444,21
24454,12
24461,11
24468,16
24475,9
24482,18
24489,19
24496,20
24502,21
24512,12
24519,11
24526,16
24533,9
24540,18
24547,19
24554,20
24560,21
24570,12
24577,11
24584,16
24591,9
24598,18
24607,0
24622,0
24624,0
24636,23
24639,8
24649,15
24659,15
24669,15
24679,15
24689,15
24699,15
24709,15
24719,15
24729,15
24739,15
24749,15
24759,15
24769,15
24779,15
24789,15
24799,15
24809,15
24819,15
24829,15
24839,15
24849,15
24859,15
24869,15
24879,15
24889,15
24899,15
24909,15
24919,15
24929,15
24941,15
24944,1
24947,12
24954,11
24961,16
24968,9
24975,18
24982,19
24989,20
24995,21
25005,12
25012,11
25019,16
25026,9
25033,18
25040,19
25047,20
25053,21
25063,12
25070,11
25077,16
25084,9
25091,18
25098,19
25105,20
25111,21
25121,12
25128,11
25135,16
25142,9
25149,18
25158,0
25173,0
25175,0
25187,23
25190,8
25200,15
25210,15
25220,15
25230,15
25240,15
25250,15
25260,15
25270,15
25280,15
25290,15
25300,15
25310,15
25320,15
25330,15
25340,15
25350,15
25360,15
25370,15
25380,15
25390,15
25400,15
25410,15
25420,15
25430,15
25440,15
25450,15
25460,15
25470,15
25480,15
25492,15
25495,1
25498,12
25505,11
25512,16
25519,9
25526,18
25533,19
25540,20
25546,21
25556,12
25563,11
25570,16
25577,9
25584,18
25591,19
25598,20
25604,21
25614,12
25621,11
25628,16
25635,9
25642,18
25649,19
25656,20
25662,21
25672,12
25679,11
25686,16
25693,9
25700,18
25709,0
25724,0
25726,0
25738,23
25741,8
25751,15
25761,15
25771,15
25781,15
25791,15
25801,15
25811,15
25821,15
25831,15
25841,15
25851,15
25861,15
25871,15
25881,15
25891,15
25901,15
25911,15
25921,15
25931,15
25941,15
25951,15
25961,15
25971,15
25981,15
25991,15
26001,15
26011,15
26021,15
26031,15
26043,15
26046,1
26049,12
26056,11
26063,16
26070,9
26077,18
26084,19
26091,20
26097,21
26107,12
26114,11
26121,16
26128,9
26135,18
26142,19
26149,20
26155,21
26165,12
26172,11
26179,16
26186,9
26193,18
26200,19
26207,20
26213,21
26223,12
26230,11
26237,16
26244,9
26251,18
26260,0
26275,0
26277,0
26289,23
26292,8
26302,15
26312,15
26322,15
26332,15
26342,15
26352,15
26362,15
26372,15
26382,15
26392,15
26402,15
26412,15
